ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
4;LA NUEVA PLAZA DE ESPAÑA;AGOSTO;04/08/2023;10;10;10;10;La guia.Marta, es una guía muy atenta y con mucho humor y rigor.;Nada.;Mejor de lo que esperaba;
12;HISTORIAS Y LEYENDAS DE MADRID;Mayo;27/05/2023;10;10;10;10;La historia de la princesa de Éboli. El guía lo ha hecho muy ameno, agradable, simpático e incluso ha añadido más de lo que estaba establecido ;;Mejor de lo que esperaba;
14;MADRID EN FEMENINO;JUNIO;17/06/2023;10;10;10;10;La historia de Madrid a través de los siglos;El calor ;Mejor de lo que esperaba;
1;HISTORIAS Y LEYENDAS DE MADRID;OCTUBRE;06/10/2023;10;10;10;10;La historia y cultura ;Todo me ha gustado ;Mejor de lo que esperaba;Más visitas
15;LA LATINA Y EL MUSEO DE LOS ORIGENES;JULIO;21/07/2023;10;8;8;8;La información ;El tiempo;Como esperaba;
7;LA HISTORIA IMPRESCINDIBLE DE MADRID;JULIO;14/07/2023;10;9;9;9;;;Mejor de lo que esperaba;
22;MADRID MONUMENTAL;JULIO;28/07/2023;10;9;9;9;La información ;Me ha faltado un pelín de contextualización de las epocas;Mejor de lo que esperaba;Hacer más temáticas!! Están chulisimas
32;MADRID EN FEMENINO;SEPTIEMBRE;30/09/2023;9;8;10;8;La información ;Repetición de otra visita;Mejor de lo que esperaba;Unificar ruta
10;MADRID EN FEMENINO;JULIO;15/07/2023;10;10;10;10;;;Mejor de lo que esperaba;
7;HISTORIAS Y LEYENDAS DE MADRID;NOVIEMBRE;18/11/2023;10;10;10;10;La leyenda de los gatos;La leyenda de la cruz porque decapitan;Mejor de lo que esperaba;Continuar en el año 2024
16;MADRID EN FEMENINO;JUNIO;17/06/2023;9;10;10;10;La manera de explicar del guía ;El calor;Mejor de lo que esperaba;En algunos puntos, por el ruido acústico de los coches, no se oía del todo bien o bajito
7;LA HISTORIA IMPRESCINDIBLE DE MADRID;ABRIL;14/04/2023;10;10;10;10;La monitora extraordinaria ;Todo me ha encantado ;Mejor de lo que esperaba;Mejor realizarlo en diario
1;HISTORIAS Y LEYENDAS DE MADRID;NOVIEMBRE;03/11/2023;7;9;8;7;La muralla;Calle pasa;Peor de lo que esperaba;Rutas Sierra madrid
